ID,ISO3,add_or_remove,acaps_category,acaps_measure,acaps_comments,source,bucky_measure,bucky_category,start_date,end_date,affected_pcodes,compliance_level,can_be_modelled,final_input,npis_linked,OCHA_comments
1,AFG,add,Public health measures,Health screenings in airports and border crossings,|||targeted pop group: No|,Ministry of Health|source type: Government|link: https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19|,closing borders,mobility-based,2020-02-12,,,,,,,
2,AFG,add,Public health measures,Isolation and quarantine policies,|admin level name: Kabul||targeted pop group: No|,Ministry of Health|source type: Government|link: https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19|,social distancing,reproduction number-based,2020-02-12,,,,,,,
3,AFG,add,Public health measures,Awareness campaigns,|||targeted pop group: No|,Ministry of Health|source type: Government|link: https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19|,awareness campaign,reproduction number-based,2020-02-12,,,,,,,
5,AFG,add,Social distancing,Limit public gatherings,Nevruz festival cancelled|||targeted pop group: No|,AA|source type: Media|link: https://www.aa.com.tr/en/asia-pacific/coronavirus-afghanistan-scraps-annual-nevruz-festival/1763830|,reduction of size of gatherings,reproduction number-based,2020-03-12,,,,,,,
6,AFG,add,Movement restrictions,Border closure ,Closure of borders with Iran|||targeted pop group: No|,Guardian|source type: Media|link: https://www.theguardian.com/global-development/2020/feb/26/coronavirus-in-a-war-zone-afghanistan-braces-for-outbreak-after-first-case|,closing borders,mobility-based,2020-02-24,,,,,,,
8,AFG,add,Social distancing,Schools closure ,|admin level name: Herat||targeted pop group: No|,OCHA|source type: UN|link: https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf|,school closure,contact-based,2020-03-01,,,,,,,
10,AFG,add,Social distancing,Limit public gatherings,all public gatherings banned|admin level name: Herat||targeted pop group: No|,OCHA|source type: UN|link: https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf|,reduction of size of gatherings,reproduction number-based,2020-03-01,,,,,,,
17,AFG,add,Governance and socio-economic measures,Limit product imports/exports,Food imports from Iran and Afghanistan has been limited|||targeted pop group: No|,US Embassy |source type: Government|link: https://af.usembassy.gov/covid-19-information/|,closing borders,mobility-based,2020-03-01,,,,,,,
23,AFG,add,Movement restrictions,Border checks ,All China and Iran nationals|||targeted pop group: Yes|,US Embassy |source type: Government|link: https://af.usembassy.gov/covid-19-information/|,closing borders,mobility-based,2020-02-01,,,,,,,
4245,AFG,add,Public health measures,Awareness campaigns,MoPH begins announcements on their facebook to make public aware of coronavirus. |||targeted pop group: No|,Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1005130256522820?__tn__=-R|,awareness campaign,reproduction number-based,2020-01-24,,,,,,,
4246,AFG,add,Public health measures,Health screenings in airports and border crossings,Health teams at airports will check passengers coming from China. |||targeted pop group: Yes|,Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1006458563056656?__tn__=-R |,closing borders,mobility-based,2020-01-26,,,,,,,
4247,AFG,add,Movement restrictions,International flights suspension,Flights to China are suspended. |||targeted pop group: Yes|,Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/photos/a.462598094109375/1007117789657400/?type=3&theater|,closing borders,mobility-based,2020-01-27,,,,,,,
4248,AFG,add,Public health measures,Health screenings in airports and border crossings,Health screenings of all passengers at airports. |||targeted pop group: No|,Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/photos/a.462598094109375/1007117789657400/?type=3&theater|,closing borders,mobility-based,2020-01-27,,,,,,,
4250,AFG,add,Public health measures,Isolation and quarantine policies,|||targeted pop group: No|,Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1011701339199045?__tn__=-R|,social distancing,reproduction number-based,2020-02-02,,,,,,,
4251,AFG,add,Public health measures,Awareness campaigns,"Print, publishing and sending advertising materials about health services. Publishing messages in hospitals, building video guidance at ports of entry, making a clear part of the passengers's location, creating a clear section on the ministry's website to publish the content related to coronavirus. |||targeted pop group: No|",Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1013023885733457?__tn__=-R|,awareness campaign,reproduction number-based,2020-02-04,,,,,,,
