ISO3,ID,add_or_remove,acaps_category,acaps_measure,acaps_comments,source,start_date,end_date,affected_pcodes,compliance_level,can_be_modelled,final_input,npis_linked,OCHA_comments
SDN,365.0,add,Movement restrictions,Checkpoints within the country,"Checkpoints are used to monitor the movement of people. The checkpoints are at Khartoum Airport, Port Sudan Airport, and Port Sudan Port. In addition to four checkpoints in the Northern State and two isolation centers in Khartoum.||targeted pop group: No|non compliance: Not applicable",US Embassy|source type: Government|link: https://sd.usembassy.gov/covid-19-information/|,1579478400000000000,,,,,,,
SDN,810.0,add,Movement restrictions,Border closure ,"Sudan closes all airports, ports and land crossings. Only humanitarian, commercial and technical support shipments were excluded from the restrictions.||targeted pop group: No|non compliance: Not applicable",Aljazeera|source type: Media|link: https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html|,1584316800000000000,,,,,,,
SDN,811.0,add,Movement restrictions,International flights suspension,closure of all airports||targeted pop group: No|non compliance: Not applicable,Aljazeera|source type: Media|link: https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html|,1584316800000000000,,,,,,,
SDN,818.0,add,Social distancing,Schools closure ,closure of all schools and education institutions for one month||targeted pop group: No|non compliance: Not applicable,DabangaSudan|source type: Media|link: https://www.dabangasudan.org/en/all-news/article/coronavirus-measures-sudan-s-council-of-ministers-issue-directions|,1584230400000000000,,,,,,,
SDN,2994.0,add,Movement restrictions,Curfews,Curfew of 8pm - 6am.||targeted pop group: No|non compliance: Up to detention,Dabanga News|source type: Media|link: https://www.dabangasudan.org/en/all-news/article/coronavirus-sudan-needs-a-total-lock-down-for-two-weeks|,1585008000000000000,,,,,,,
SDN,2995.0,add,Movement restrictions,Border closure ,All borders have been closed and all air traffic has been banned.||targeted pop group: No|non compliance: Not applicable,Dabanga News|source type: Media|link: https://www.dabangasudan.org/en/all-news/article/coronavirus-sudan-needs-a-total-lock-down-for-two-weeks|,1585008000000000000,,,,,,,
SDN,2996.0,add,Movement restrictions,Domestic travel restrictions,Public transport has been stopped.||targeted pop group: No|non compliance: Not applicable,Dabanga News|source type: Media|link: https://www.dabangasudan.org/en/all-news/article/coronavirus-sudan-needs-a-total-lock-down-for-two-weeks|,1585180800000000000,,,,,,,
SDN,3606.0,add,Social distancing,Limit public gatherings,the Government of Sudan has banned all bus transportation between cities and states.||targeted pop group: No|,US Embassy|source type: Government|link: https://sd.usembassy.gov/covid-19-information/|,1585180800000000000,,,,,,,
SDN,3607.0,add,Movement restrictions,Curfews,The government increased the curfew to 6pm-6am (was 8pm-6am).||targeted pop group: No|,US Embassy|source type: Government|link: https://sd.usembassy.gov/covid-19-information/|alternative source: https://www.dabangasudan.org/en/all-news/article/sudan-this-week-s-news-in-brief-3,1585612800000000000,,,,,,,
SDN,5337.0,add,Lockdown,Partial lockdown,Khartoum state will from Saturday go on a three-week lockdown to curb the spread of coronavirus.|admin level name: Khartoum State|targeted pop group: No|non compliance: Not available,BBC|source type: Media|link: https://www.bbc.com/news/world/africa/live|,1587168000000000000,,,,,,,
SDN,5338.0,add,Movement restrictions,Curfews,"During lockdown period people may only access neighbourhood shops, bakeries and pharmacies between 6:00 am and 1:00 pm daily.|admin level name: Khartoum State|targeted pop group: No|non compliance: Not available",Reliefweb|source type: Other organisations|link: https://reliefweb.int/report/sudan/sudan-situation-report-30-apr-2020-enar|,1587168000000000000,,,,,,,
SDN,6607.0,add,Movement restrictions,International flights suspension,Closure of airports for domestic and international passenger flights extended until May 20 amid the spread of COVID-19.||targeted pop group: No|non compliance: Not applicable,News Ghana|source type: Media|link: https://newsghana.com.gh/sudan-extends-airports-closure-amid-coronavirus-spread/|,1587340800000000000,,,,,,,
SDN,6608.0,add,Movement restrictions,Domestic travel restrictions,Closure of airports for domestic and international passenger flights extended until May 20 amid the spread of COVID-19.||targeted pop group: No|non compliance: Not applicable,News Ghana|source type: Media|link: https://newsghana.com.gh/sudan-extends-airports-closure-amid-coronavirus-spread/|,1587340800000000000,,,,,,,
SDN,8603.0,add,Social distancing,Closure of businesses and public services,Prayers in mosques and church services have been suspended in Khartoum state during the three-week lockdown period.|admin level name: Khartoum State|targeted pop group: No|non compliance: Not available,Reliefweb|source type: Other organisations|link: https://reliefweb.int/report/sudan/sudan-situation-report-30-apr-2020-enar|,1587168000000000000,,,,,,,
SDN,9844.0,add,Lockdown,Partial lockdown,Lockdown due to end in Khartoum will be extended for a further 10 days|admin level name: Khartoum|targeted pop group: No|non compliance: Not available,AA|source type: Media|link: https://www.aa.com.tr/en/africa/coronavirus-cases-exceed-1-000-mark-in-sudan/1834359|,1588982400000000000,,,,,,,
