type,name,description,speed,lanes,factor
road,motorway,"A restricted access major divided highway, normally with 2 or more running lanes plus emergency hard shoulder. Equivalent to the Freeway, Autobahn, etc..",100,3,300
road,trunk,The most important roads in a country's system that aren't motorways. (Need not necessarily be a divided highway.),90,2,180
road,primary,The next most important roads in a country's system. (Often link larger towns.),80,2,160
road,secondary,The next most important roads in a country's system. (Often link towns.),70,1,70
road,tertiary,The next most important roads in a country's system. (Often link smaller towns and villages),60,1,60
road,unclassified,"The least important through roads in a country's system – i.e. minor roads of a lower classification than tertiary, but which serve a purpose other than access to properties. (Often link villages and hamlets.)",40,1,40
road,residential,"Roads which serve as an access to housing, without function of connecting settlements. Often lined with housing.",30,1,30
link,motorway_link,The link roads (sliproads/ramps) leading to/from a motorway from/to a motorway or lower class highway. Normally with the same motorway restrictions.,100,3,300
link,trunk_link,The link roads (sliproads/ramps) leading to/from a trunk road from/to a trunk road or lower class highway.,90,2,180
link,primary_link,The link roads (sliproads/ramps) leading to/from a primary road from/to a primary road or lower class highway.,80,2,160
link,secondary_link,The link roads (sliproads/ramps) leading to/from a secondary road from/to a secondary road or lower class highway.,70,1,70
link,tertiary_link,The link roads (sliproads/ramps) leading to/from a tertiary road from/to a tertiary road or lower class highway.,60,1,60
special,living_street,"For living streets, which are residential streets where pedestrians have legal priority over cars, speeds are kept very low and where children are allowed to play on the street.",20,1,20
special,service,"For access roads to, or within an industrial estate, camp site, business park, car park, alleys, etc. Can be used in conjunction with service=* to indicate the type of usage and with access=* to indicate who can use it and in what circumstances.",20,1,20
special,pedestrian,For roads used mainly/exclusively for pedestrians in shopping and some residential areas which may allow access by motorised vehicles only for very limited periods of the day. To create a 'square' or 'plaza' create a closed way and tag as pedestrian and also with area=yes.,5,1,5
special,track,"Roads for mostly agricultural or forestry uses. To describe the quality of a track, see tracktype=*. Note: Although tracks are often rough with unpaved surfaces, this tag is not describing the quality of a road but its use. Consequently, if you want to tag a general use road, use one of the general highway values instead of track.",10,1,10
special,road,"A road/way/street/motorway/etc. of unknown type. It can stand for anything ranging from a footpath to a motorway. This tag should only be used temporarily until the road/way/etc. has been properly surveyed. If you do know the road type, do not use this value, instead use one of the more specific highway=* values.",40,1,40
path,footway,"For designated footpaths; i.e., mainly/exclusively for pedestrians. This includes walking tracks and gravel paths. If bicycles are allowed as well, you can indicate this by adding a bicycle=yes tag. Should not be used for paths where the primary or intended usage is unknown. Use highway=pedestrian for pedestrianised roads in shopping or residential areas and highway=track if it is usable by agricultural or similar vehicles.",5,1,5
path,path,"A non-specific path. Use highway=footway for paths mainly for walkers, highway=cycleway for one also usable by cyclists, highway=bridleway for ones available to horse riders as well as walkers and highway=track for ones which is passable by agriculture or similar vehicles.",5,1,5
cycleway,cycleway,For designated cycleways. Add foot=* only if default-access-restrictions do not apply.,20,1,20
lifecycle,proposed,"For planned roads, use with proposed=* and a value of the proposed highway value.",15,1,15
lifecycle,construction,For roads under construction. Use construction=* to hold the value for the completed road.,15,1,15
